Name,Style,Brewery,Beer Name (Full),Description,ABV,Min IBU,Max IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_palate,review_taste,review_overall,number_of_reviews,City,Country
Heather Ale,Gruit / Ancient Herbed Ale,Kuhnhenn Brewing Company,Kuhnhenn Brewing Company Kuhnhenn Heather Ale,Notes:,4.75,0,0,6,14,1,7,12,13,0,7,24,1,16,3.571429,3.428571,3.5,3.357143,3.285714,7,Clinton Twp,USA
Artemis,Gruit / Ancient Herbed Ale,Moonlight Brewing Company,Moonlight Brewing Company Artemis,Notes:,5.5,0,0,1,7,3,6,4,3,0,0,16,9,4,3.142857,3.714286,3.071429,2.714286,2.428571,7,Santa Rosa,USA
Two Weeks Notice,Gruit / Ancient Herbed Ale,Moonlight Brewing Company,Moonlight Brewing Company Two Weeks Notice,Notes:,5.3,0,0,3,7,3,7,1,8,2,10,35,5,9,4.142857,3.5,3.714286,3.714286,3.785714,7,Santa Rosa,USA
La Clef Des Champs,Gruit / Ancient Herbed Ale,Brasserie Dieu Du Ciel,Brasserie Dieu Du Ciel La Clef Des Champs,Notes:,5.0,0,0,1,4,1,2,3,1,0,1,17,1,11,4.5,3.0,3.5,3.5,3.5,1,QC H2T 2N2,Canada
Gothic Ale,Gruit / Ancient Herbed Ale,Triumph Brewing Company,Triumph Brewing Company Gothic Ale,Notes:,4.8,0,0,4,14,4,7,13,8,0,5,28,12,11,3.55,3.8,3.5,3.7,3.35,10,New Hope,USA
Andromeda Heather Ale,Gruit / Ancient Herbed Ale,Dragonmead Microbrewery,Dragonmead Microbrewery Dragonmead Andromeda Ale,"Notes:Dragonmead uses heather tips imported from Scotland to create this unusual brew. Its malty sweet aroma does not disappoint. Chocolate Malt imparts a great deal of the flavor of this beer but does not over-power the finish, which is defined by the powdery dryness of the heather. All in all, a malty brew with a very clean finish.\t",4.6,0,0,9,9,2,3,15,4,0,7,8,2,21,3.25,3.583333,3.25,3.583333,3.583333,6,Warren,USA
Kinmugi (Rich Malt),Happoshu,Suntory,Suntory Suntory Rich Malt,Notes:,5.0,0,0,12,16,3,15,15,12,0,9,21,5,29,3.833333,3.166667,3.666667,3.5,3.833333,3,Kotobuki Realty Co.,Ltd.
Orion Mugi Shokunin,Happoshu,"Orion Beer Co., Ltd.","Orion Beer Co., Ltd. Orion Mugi Shokunin",Notes:,5.5,0,0,3,7,1,9,8,1,0,1,10,0,10,3.0,3.5,3.0,3.0,3.0,1,Ocean Holdings Co.,Ltd.
Sapporo Draft One,Happoshu,Sapporo Breweries Ltd.,Sapporo Breweries Ltd. Sapporo Draft One,Notes:,5.0,0,0,4,10,7,6,17,13,0,9,9,1,15,1.642857,1.857143,2.071429,1.785714,2.071429,7,Hokkaido,Japan
Orion Southern Star,Happoshu,"Orion Beer Co., Ltd.","Orion Beer Co., Ltd. Orion Southern Star",Notes:,5.5,0,0,0,4,2,3,3,3,0,4,4,1,3,2.5,2.5,2.75,2.75,2.5,2,Ocean Holdings Co.,Ltd.
Jokki (Jug Nama),Happoshu,Suntory,Suntory Jokki (Jug Nama),Notes:,5.0,0,0,3,6,2,2,10,3,1,1,2,0,4,2.125,2.875,2.375,2.0,2.375,4,Kotobuki Realty Co.,Ltd.
Kirin Enjuku Kuro,Happoshu,"Kirin Brewery Company, Limited","Kirin Brewery Company, Limited Kirin Enjuku Kuro",Notes:,6.0,0,0,2,7,1,2,9,0,0,0,2,0,21,2.9,3.0,3.0,3.1,3.6,5,Limited,MORE
Honkaku Karakuchi Mugi,Happoshu,"Kirin Brewery Company, Limited","Kirin Brewery Company, Limited Honkaku Karakuchi Mugi",Notes:,5.0,0,0,11,9,2,5,3,2,0,2,4,0,8,3.5,3.0,3.0,3.0,4.0,1,Limited,MORE
Sapporo Mugi To Hopppu (trans. Barley And Hop),Happoshu,Sapporo Breweries Ltd.,Sapporo Breweries Ltd. Sapporo Mugi To Hopppu (trans. Barley And Hop),Notes:,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.0,3.0,3.0,4.5,1,Hokkaido,Japan
Orion Nangoku Monogatari,Happoshu,"Orion Beer Co., Ltd.","Orion Beer Co., Ltd. Orion Nangoku Monogatari",Notes:,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.0,3.0,2.5,3.0,1,Ocean Holdings Co.,Ltd.
Akiraku,Happoshu,Suntory,Suntory Akiraku,Notes:,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.0,4.0,4.5,4.0,1,Kotobuki Realty Co.,Ltd.
Good Juju,Herb and Spice Beer,Left Hand Brewing Company,Left Hand Brewing Company Good Juju (Ginger Ale),Notes:,4.5,5,40,6,18,4,16,23,15,2,15,19,81,43,3.479365,3.461905,3.320635,3.344444,3.380952,315,Longmont,USA
Rosée D'Hibiscus,Herb and Spice Beer,Brasserie Dieu Du Ciel,Brasserie Dieu Du Ciel Rosée D'hibiscus,"Notes:Rosée D’Hibiscus is a delicate wheat beer with a floral and lightly acidic character. Its beautiful pink colour comes from the hibiscus flowers used in the brewing process. A perfumed aroma invokes fresh pink grapefruit and the pleasing texture persists nicely. A refreshing, quenching ale perfect for hot summer days & nights.\t",5.9,5,40,19,39,8,7,61,57,0,46,114,23,44,3.874183,3.797386,3.75,3.789216,3.759804,306,QC H2T 2N2,Canada
Poor Richard's Tavern Spruce Ale,Herb and Spice Beer,Yards Brewing Co.,Yards Brewing Co. Poor Richard's Tavern Spruce Ale,"Notes:Based on Franklin’s original recipe, which called for barley, molasses, and essence of spruce, our Tavern Spruce is as approachable and engaging as was the man himself. We source blue spruce clippings from a local organic farmer, steeping them in the kettle to create this one-of-a-kind deep amber ale.\t",5.0,5,40,7,24,11,24,37,3,1,16,86,12,62,3.704698,3.818792,3.560403,3.687919,3.550336,149,Philadelphia,USA
Jaw-Jacker,Herb and Spice Beer,Arcadia Brewing Company,Arcadia Brewing Company Arcadia Jaw-Jacker,"Notes:This spiced amber-wheat ale is our celebration of the arrival of Autumn. Using the finest malted barley and a small amount of wheat for mouthfeel, Jaw-Jacker displays a brilliant orange-amber color, despite the absence of pumpkin in the recipe. The addition of cinnamon, all-spice, and nutmeg (in the exact proportions of a family pumpkin pie recipe) creates a refreshingly spicy, season brew.\t",6.5,5,40,8,42,8,11,22,25,0,85,16,123,53,3.540323,3.479839,3.334677,3.28629,3.310484,124,AB T5H 0W7,Canada
El Mole Ocho,Herb and Spice Beer,New Holland Brewing Company,New Holland Brewing Company New Holland El Mole Ocho,"Notes:Our exploration into the flavors of mole, the legendary sauce of central Mexico. Malty aroma and rich, cocoa-laden body laced with an invigorating tinge of dries chilies and coffee.\t",10.0,5,40,11,106,43,56,132,34,0,47,29,100,128,3.679487,3.645299,3.542735,3.649573,3.384615,117,Holland,USA
Applehead,Herb and Spice Beer,Shipyard Brewing Co.,Shipyard Brewing Co. Applehead,"Notes:Applehead is a crisp, refreshing wheat ale with a delightful apple aroma and subtle cinnamon flavor.\t",4.5,5,40,26,22,6,4,114,105,0,109,7,52,47,3.136364,2.727273,2.909091,2.909091,2.772727,11,Portland,USA
Bison Organic Gingerbread Ale,Herb and Spice Beer,Bison Brewing,Bison Brewing Bison Organic Gingerbread Ale,Notes:20 IBU\t,6.0,5,40,8,31,6,19,13,9,0,12,12,68,68,3.730088,3.730088,3.415929,3.486726,3.473451,113,San Jose,USA
Mexican Chocolate Stout,Herb and Spice Beer,Copper Kettle Brewing Company,Copper Kettle Brewing Company Mexican Chocolate Stout,"Notes:Gold Medal Winner at Great American Beer Fest - Herb and Spice Category. A rich black ale with roasted malt flavors blended with bittersweet chocolate, our own blend of three Mexican chili peppers and cinnamon.\t",7.0,5,40,5,103,25,24,66,8,0,7,10,152,77,4.125,3.875,3.875,4.375,4.125,4,Denver,USA
Bison Organic Honey Basil,Herb and Spice Beer,Bison Brewing,Bison Brewing Bison Organic Honey Basil,Notes:This Bison classic brew is infused with honey for a hint of sweetness and aroma. Fresh organic basil lends a slight herbal note and a hint of basil - a perfectly refreshing brew.,6.0,5,40,21,28,4,17,67,17,0,20,109,18,59,3.571429,3.625,3.607143,3.598214,3.633929,56,San Jose,USA
Rude Elf's Reserve,Herb and Spice Beer,Allentown Brew Works,Allentown Brew Works Rude Elf's Reserve,Notes:,10.5,5,40,7,44,46,8,65,27,0,49,12,157,30,3.795455,3.840909,3.522727,3.545455,3.568182,22,Allentown,USA
Underlig Jul,Herb and Spice Beer,Nøgne Ø - Det Kompromissløse Bryggeri A/S,Nøgne Ø - Det Kompromissløse Bryggeri A/S Underlig Jul,"Notes:15°P, 30 IBU.Also sold as ""Peculiar Yule"".Ingredients: Maris Otter, Munich, caramel, and chocolate malt; Columbus and Cascade hops; 5 different spices, English ale yeast, and our local Grimstad water\t",6.5,5,40,14,51,24,44,60,21,0,32,81,178,92,4.139785,4.11828,3.903226,3.924731,3.736559,93,Grimstad,Norway
Lemon Tea Ale,Herb and Spice Beer,Mill Street Brew Pub,Mill Street Brew Pub Mill Street Lemon Tea Ale,"Notes:Sunset-coloured (orangey-amber) slightly sweet, malty palate with dry lemon-tea finish. Beer made with addition of Black tea leaves and lemon in aging tank. Very smooth and quenching; unfiltered.\t",5.0,5,40,15,38,13,19,31,98,0,92,100,8,68,3.508333,3.383333,3.516667,3.433333,3.633333,60,Labatt Brewing Company,AB InBev
Red/White Christmas,Herb and Spice Beer,Mikkeller ApS,Mikkeller ApS Red/White Christmas,Notes:A combination between a British Red Ale and a Belgian Wit Bier.\t,8.0,5,40,10,31,27,57,55,91,1,85,100,42,60,3.764706,4.308824,3.882353,3.764706,3.75,34,Mikkel Borg Bjergsø,Kristian Klarup Keller
La MeuleBFM (Brasserie des Franches-Montagnes),Herb and Spice Beer,BFM Brasserie Des Franches-Montagnes,BFM Brasserie Des Franches-Montagnes La Meule,"Notes:La Meule, blond ale with sage, frankly bitter with a subtle bouquet.\t",6.0,5,40,21,38,5,19,39,92,0,62,82,46,27,3.828947,3.881579,3.671053,3.75,3.651316,76,Saignelégier,Switzerland
Nor'Easter Lager,Herb and Spice Beer,Thomas Hooker Brewing Company,Thomas Hooker Brewing Company Thomas Hooker Nor'Easter Lager,"Notes:Brewed to celebrate winter in New England, Nor'Easter Lager possesses a hearty malt flavor delicately accented by mild winter spices.16 IBU\t",6.0,5,40,10,40,17,18,76,44,0,47,27,63,84,3.463636,3.663636,3.627273,3.554545,3.527273,55,Bloomfield,USA
Sculpin,IPA - American,Ballast Point Brewing Company,Ballast Point Brewing Company Ghost Pepper Sculpin,Notes:Originally named Northstar IPA. Debuted in 2005.\t,7.0,50,70,20,34,12,69,43,53,0,72,92,4,28,3.5,4.0,3.5,2.5,3.0,1,Pete A’Hearn,Jack White
Torpedo Extra IPA,IPA - American,Sierra Nevada Brewing Co.,Sierra Nevada Brewing Co. Sierra Nevada Torpedo Extra IPA,"Notes:From the brewery ... Sierra Nevada Torpedo Ale is a big American IPA; bold, assertive and full of flavor and aromas highlighting the complex citrus, pine and herbal character of whole-cone American hops.\t",7.2,50,70,10,44,11,57,31,37,0,43,107,6,38,4.019961,4.170527,4.029571,4.113849,4.104485,2029,Chico,USA
Celebration Fresh Hop IPA,IPA - American,Sierra Nevada Brewing Co.,Sierra Nevada Brewing Co. Sierra Nevada Celebration Ale,"Notes:Fresh Hop Ale; no spices.We first brewed Celebration IPA in the winter of 1981. Each year, we use only the first fresh hops of the growing season to create this complex and robust ale. Layered pine and citrus hop aromas balance delicately against rich, malt sweetness to shape this bold wintertime classic.\t",6.8,50,70,19,38,15,66,28,24,0,25,92,5,47,4.082333,4.225167,4.076,4.19,4.168667,3000,Chico,USA
A Little Sumpin' Sumpin' Ale,IPA - American,Lagunitas Brewing Company,Lagunitas Brewing Company A Little Sumpin' Sumpin' Ale,"Notes:Brewed with 50% wheat malt; Willamette, Santiam, Amarillo, Cascade, Centennial, Chinook, and Columbus hops. This special ale is something fairly new under the sun. It's got a lot of wheat, it's rich with hops, it finishes dry. We've watched with some amusement as the internet beer rating sites argues over how to 'classify' it. We're in the camp with Japhy Ryder when he declares to Ray Smith that ""Comparisons are odious!"" You ever notice how everything has to be today's version of yesterday's whatever. Well, whatEver. Sometimes we wonder what the world would be like if everything was perceived for what it is, and not what it reminds you of. The sun would rise everyday as if for the first time, you'd wake as if newly born, you'd see your lover next to you anew, the air would smell like flowers, work would be like the first day back in school, a beer would make your eyes roll back in your head in ecstasy... well, maybe not... but you get the idea.....Way smooth and silky with a nice wheatly-esque-ish-ness. A truly unique style featuring a strong hop finish on a silky body. A hoppy pale wheat ale that is great for IPA fans but so smooth that the hefeweizen fans dig it too.64 IBU\t",7.5,50,70,15,32,14,58,23,56,1,69,100,2,65,4.208235,3.995882,4.031765,4.216471,4.219412,850,Petaluma,USA
Centennial IPA,IPA - American,Founders Brewing Company,Founders Brewing Company Founders Centennial IPA,"Notes:Get ready to bask in the glory of the frothy head’s floral bouquet. Relish the citrus accents from the abundance of dry hopping. This one’s sweet, yet balanced. Malty undertones shake hands with the hop character for a finish that never turns too bitter.65 IBU\t",7.2,50,70,12,28,14,64,30,37,0,47,85,4,44,4.087455,4.056272,4.018638,4.13405,4.146237,1395,Grand Rapids,USA
All Day IPA,IPA - American,Founders Brewing Company,Founders Brewing Company Founders All Day IPA,"Notes:The beer you’ve been waiting for. Keeps your taste satisfied while keeping your senses sharp. An all-day IPA naturally brewed with a complex array of malts, grains and hops. Balanced for optimal aromatics and a clean finish. The perfect reward for an honest day’s work and the ultimate companion to celebrate life’s simple pleasures.Formerly Endurance - All Day IPA.\t",4.7,50,70,16,16,2,38,16,24,1,30,54,1,25,4.066667,3.766667,3.955556,3.922222,4.1,45,Grand Rapids,USA
HopDevil,IPA - American,Victory Brewing Company,Victory Brewing Company HopDevil Ale,"Notes:Bold, spicy and menacingly delicious, this American-hopped IPA offers an aromatic punch and follows through with a lasting, full-bodied finish\t",6.7,50,70,13,27,5,61,42,26,0,30,89,10,69,3.995656,4.09318,4.019114,4.143788,4.114683,2302,Downingtown,PA
Furious,IPA - American,Surly Brewing Company,Surly Brewing Company Furious,"Notes:A tempest on the tongue, or a moment of pure hop bliss? Brewed with a dazzling blend of American hops and Scottish malt, this crimson-hued ale delivers waves of citrus, pine and caramel-toffee. For those who favor flavor, Furious has the hop-fire your taste buds have been screaming for.\t",6.7,50,70,11,24,5,57,45,48,0,54,96,3,61,4.374592,4.27165,4.200572,4.379902,4.336601,1224,Minneapolis,USA
Lunch,IPA - American,Maine Beer Company,Maine Beer Company Lunch,"Notes:Our “East Coast” version of a West Coast-style IPA. Intense hop flavors and aromas of tropical and citrus fruits and pine dominate. A subtle malt sweetness brings the beer into balance.Lunch is a special whale that has been spotted off the Maine coast since 1982. She has what looks like a bite taken out of her fin, which adds to her unique character. We dedicate this beer to her determination and persistence.Keep on swimming!\t",7.0,50,70,26,54,15,64,56,79,0,97,102,5,49,4.36612,4.286885,4.128415,4.311475,4.325137,183,Freeport,USA
Fresh Squeezed IPA,IPA - American,Deschutes Brewery,Deschutes Brewery Fresh Squeezed IPA,"Notes:This mouthwateringly delicious IPA gets its flavor from a heavy helping of Citra and Mosaic hops. Don't worry, no fruit was harmed in the making of this beer.60 IBU\t",6.4,50,70,16,41,4,62,46,54,1,67,85,3,41,3.625,3.875,3.75,3.625,3.5,4,Bend,OR
Flower Power India Pale Ale,IPA - American,Ithaca Beer Company,Ithaca Beer Company Flower Power India Pale Ale,Notes:Enjoy the clover honey hue and tropical nose. Simultaneously punchy and soothing with a big body and a finish that boasts pineapple and grapefruit. Flower Power is hopped and dry-hopped five different times throughout the brewing and fermentation process.\t,7.2,50,70,17,26,14,44,38,38,1,61,75,0,35,4.172476,4.040865,3.973558,4.11899,4.145433,832,Ithaca,USA
"Smuttynose IPA ""Finest Kind""",IPA - American,Smuttynose Brewing Company,"Smuttynose Brewing Company Smuttynose IPA ""Finest Kind""","Notes:You could say, then, that Smuttynose IPA is a physical salute to the glory of the American hop grower. The citrusy hop flavor coming from a mixture of Simcoe and Santiams is pleasantly balanced by a smooth bitterness from the Amarillo hops. The beer itself is light bodied and crisp with a golden color that will throw a slight haze, as we bottle it unfiltered. At 75 IBU's, this is definitely not a training-wheels IPA, but is meant for hop lovers looking to satisfy their craving in a way that's not easy to find. We think they’ll be quite pleased.75 IBU\t",6.9,50,70,21,27,14,70,39,55,0,67,93,6,38,4.019706,4.051102,4.057114,4.175351,4.128591,1497,Hampton,USA
Harvest Ale,IPA - American,Founders Brewing Company,Founders Brewing Company Founders Harvest Ale,"Notes:Each fall, our brewhouse looks more like a greenhouse as thousands of pounds of wet hop cones arrive within hours of being picked by some of our favorite local hop growers. Acting quickly, we then load up these wet hops into what will become Harvest Ale – an impossibly aromatic and bright IPA bursting with fresh pine, melon and citrus notes. Our ode to the beauty that is the wet, American hop.70 IBU\t",7.6,50,70,18,38,9,75,32,44,0,60,117,3,31,4.239614,3.989614,4.014837,4.180267,4.207715,674,Grand Rapids,USA
Head Hunter,IPA - American,Fat Heads Brewery & Saloon,Fat Heads Brewery & Saloon Fat Head's Head Hunter IPA,"Notes:Head Hunter is an aggressively dry-hopped, West Coast-style IPA with a huge hop display of pine, grapefruit, citrus and pineapple. A punch-you-in-the-mouth brew for those who truly love their hops! Uncivilized. Aggressive. Award-Winning.\t",7.5,50,70,25,36,16,71,46,63,0,97,110,6,40,4.348039,4.04902,4.058824,4.303922,4.259804,102,North Olmsted,USA
Hop Nosh IPA,IPA - American,Uinta Brewing Company,Uinta Brewing Company Hop Notch IPA,"Notes:Bold and refreshing, this IPA combines an abundance of hops with a smooth malt profile.82 IBU\t",7.3,50,70,8,25,5,68,42,38,0,64,92,5,45,4.114583,4.114583,4.083333,4.166667,4.135417,48,Salt Lake City,USA
Big Eye,IPA - American,Ballast Point Brewing Company,Ballast Point Brewing Company Big Eye Double Ginger,Notes:,7.0,50,70,26,37,9,68,42,53,2,68,103,4,43,4.5,4.0,4.333333,3.833333,4.333333,3,Pete A’Hearn,Jack White
IPA,IPA - American,AleSmith Brewing Company,AleSmith Brewing Company AleSmith IPA,Notes:,7.25,50,70,19,47,2,76,54,65,1,90,114,2,54,4.298209,4.300843,4.217597,4.334563,4.303477,949,San Diego,USA
Samuel Adams Latitude 48 IPABoston Beer Company (Samuel Adams),IPA - American,Boston Beer Company (Samuel Adams),Boston Beer Company (Samuel Adams) Samuel Adams Latitude 48 IPA,Notes:,6.0,50,70,20,23,3,53,21,43,1,47,73,4,34,3.647783,4.02032,3.7383,3.703202,3.814655,812,Boston,USA
Hop Wallop,IPA - American,Victory Brewing Company,Victory Brewing Company Hop Wallop,Notes:Citra and Simcoe Hops impart fruity and earthy notes for a new twist on a flavorful friend. This IPA packs a hoppy wallop.\t,7.5,50,70,25,30,9,79,33,42,4,47,124,4,47,4.022552,4.0022,4.024202,4.113311,3.987624,1818,Downingtown,PA
Northern Hemisphere Harvest Wet Hop IPA,IPA - American,Sierra Nevada Brewing Co.,Sierra Nevada Brewing Co. Northern Hemisphere Harvest Wet Hop Ale,Notes:Formerly Northern Hemisphere Harvest Wet Hop Ale\t,6.7,50,70,13,34,3,68,45,36,1,41,115,5,61,4.093796,4.289882,4.090473,4.200517,4.242245,1354,Chico,USA
IPA,IPA - American,SweetWater Brewing Company,SweetWater Brewing Company Sweetwater IPA,"Notes:This mammoth IPA is defined by generous quantities of juicy American hops. The extensive dry hopping process contributes to its bright and flavorful character. This beer is unfiltered to leave all the natural flavors intact and bottle conditioned to stay super fresh.Malt Bill: Munich, Wheat, 2-Row, 70/80Hops: Columbus, Chinook, Cascade, Simcoe, GoldingDry Hop: Simcoe, US Golding50 IBU\t",6.3,50,70,25,44,13,75,57,58,1,86,103,12,59,4.071752,3.960725,3.925227,4.053625,4.154079,662,Tilray,Four Twenty Corporation
Hopsecutioner,IPA - American,Terrapin Beer Company,Terrapin Beer Company Terrapin Hopsecutioner,Notes:This Killer IPA earns its name by using six different types of hops while still remaining an aggressive well balanced beer.\t,7.3,50,70,17,21,20,78,24,23,2,29,84,2,34,3.820632,3.866171,3.79368,3.813197,3.902416,538,Athens,GA
Anchor Liberty Ale,IPA - American,Anchor Brewing Company,Anchor Brewing Company Anchor Liberty Ale,"Notes:The champagne-like bubbles, distinctive hop bouquet, and balanced character of Liberty Ale® revives centuries-old ale brewing traditions that are now more relevant than ever.\tFirst introduced in 1975, Liberty Ale® is brewed strictly according to traditional craft brewing methods, and uses only natural ingredients — pale malted barley, fresh whole-cone Cascade hops and a special top-fermenting yeast, and water.The yeast used during fermentation produces many of Liberty Ale's subtle flavors and characteristics. A natural process called ""bunging"" creates gentle carbonation, and the practice of dry hopping (adding fresh hops to the brew during aging), revived by Anchor, creates its unique aroma.Liberty Ale® was first brewed to celebrate the bicentennial of Paul Revere’s historic ride. As the first modern American IPA brewed after prohibition and the first modern American single-hop ale and dry-hopped ale, Anchor’s Liberty Ale® is the original craft brewed ale and the historic beer that started a revolution.\t",5.9,50,70,21,27,7,67,27,51,0,61,85,4,47,3.881087,3.973536,3.91108,4.017643,4.100917,1417,San Francisco,USA
Crooked Tree IPA,IPA - American,Dark Horse Brewing Company,Dark Horse Brewing Company Dark Horse Crooked Tree IPA,"Notes:Inspired by West Coast I.P.A.'s, but brewed with Michigan style. The Crooked Tree is heavily dry hopped to give it a big aroma of pine and citrus. The flavors are big, yet very balanced between fresh hops and malt. Often described as ""grapefruit"" our hops give this beer an excellent fruit flavor that finishes dry.\t",6.5,50,70,19,39,8,77,48,62,0,80,116,2,74,3.930727,3.823045,3.851166,3.937586,3.975309,729,Marshall,USA
IPA,IPA - American,Odell Brewing Company,Odell Brewing Company British IPA,"Notes:Pale and Vienna malts along with 9 different US hop varietiesWe took the traditional IPA, originally shipped from England to India in the 1700′s, and made it bolder and more flavorful—American Style. We added new varieties of highly aromatic American hops to create a distinctive bitterness profile and an incredible hop character.\t",7.0,50,70,19,26,14,84,76,88,1,138,141,7,49,3.75,3.75,3.75,4.25,4.25,2,Fort Collins,USA
Hop Ottin' IPA,IPA - American,Anderson Valley Brewing Company,Anderson Valley Brewing Company Hop Ottin' IPA,"Notes:Our Hop Ottin’ IPA is brewed and dry-hopped with copious amounts of Columbus and Cascade. This beer is a showcase of the bright citrusy aromas, bold grapefruit and pine-like flavors, and resiny bitterness that hop heads crave. With a brilliant, deep amber color and solid malt backbone, hints of citron, roses, and bergamot climax with a dry, herbal finish in this well-balanced interpretation of a West Coast IPA.\t",7.0,50,70,30,29,12,69,48,69,0,75,99,2,61,4.002871,4.110526,3.950239,4.047847,4.007656,1045,Boonville,CA
India Pale Ale (IPA),IPA - American,Avery Brewing Company,Avery Brewing Company India Pale Ale (IPA),"Notes:A Colorado IPA with crisp, juicy, and resinous hops and a rich, malty finish.IBUs: 65\t",6.5,50,70,16,33,8,53,33,49,3,56,94,3,41,3.846767,3.921275,3.837395,3.915183,3.940956,1067,Boulder,USA
A Little Sumpin' Wild,IPA - Belgian,Lagunitas Brewing Company,Lagunitas Brewing Company A Little Sumpin' Wild,Notes:Fermented with the Westmalle yeast strain72.51 IBU\t,8.8,50,80,16,33,17,53,41,69,0,62,71,9,26,4.095273,4.088626,3.996307,4.10192,4.079025,677,Petaluma,USA
Houblon Chouffe Dobbelen IPA Tripel,IPA - Belgian,Brasserie d'Achouffe,Brasserie d'Achouffe Houblon Chouffe Dobbelen IPA Tripel,"Notes:The gnomes of Fairyland may be little, but they have big, very big, personalities. HOUBLON CHOUFFE matches their impish spirits. All gnomes, with their innate good taste, are in full agreement about HOUBLON CHOUFFE, which is flavoured by three different types of hops. This India Pale Ale is appreciated for its pronounced bitterness combined with the fruity tones of traditional Achouffe beers: it softens the strongest of characters.\t",9.0,50,80,38,51,22,82,79,69,1,93,135,36,46,4.112315,4.364039,4.13202,4.264532,4.177833,1015,Houffalize,Belgium
Green Flash Le Freak,IPA - Belgian,Green Flash Brewing Co.,Green Flash Brewing Co. Green Flash Le Freak,"Notes:Le Freak® is the first-ever hybrid ale of its kind: the convergence of a Belgian-Style Trippel with an American Imperial IPA. This zesty Amarillo dry-hopped, bottle-conditioned marvel entices with fruity Belgian yeast aromatics and a firm, dry finish. Aromas of orange and passion fruit with sweet bready malts, and flavors of orange marmalade and citrus fruit pith. Experience a legendary beer.\t",9.2,50,80,32,33,23,75,65,76,2,83,101,24,50,4.060277,4.121542,3.968379,4.085968,3.916008,506,San Diego,USA
Chainbreaker White IPA,IPA - Belgian,Deschutes Brewery,Deschutes Brewery Chainbreaker White IPA,Notes:,5.5,50,80,12,27,11,47,21,61,0,75,66,22,22,3.722222,3.5,3.666667,3.555556,3.666667,9,Bend,OR
Citra Bitter Monk,IPA - Belgian,Anchorage Brewing Company,Anchorage Brewing Company Bitter Monk,"Notes:Belgian style double IPA with Brettanomyces. this ale is aged in french oak chardonnay barrels. Brewed with Apollo, Citra, and Simcoe hops. Dry hopped in the barrel with Citra hops. Triple fermented- First in the tank with a Belgian yeast, second in french oak chardonnay barrels with brett, and finally in the bottle with a third yeast for natural carbonation.100 IBU\t",9.0,50,80,39,36,13,57,56,138,2,133,74,26,23,4.292035,4.309735,4.159292,4.323009,4.314159,113,Anchorage,USA
Hugh Malone,IPA - Belgian,Allagash Brewing Company,Allagash Brewing Company Allagash Hugh Malone,"Notes:Hugh Malone begins with a grain bill featuring a blend of Maine grown barley, imported Pilsner, and raw wheat malt. At the beginning of run off, we add a portion of hops to the sweet wort in the kettle; a technique known as ""first wort hopping"". As the boil begins, a generous amount of Chinook hops are added for bittering. Later, in the whirlpool, the beer is hopped with a blend of Centennial and Amarillo, for aroma. This same blend is used, post fermentation, to lend additional hop character to the finished beer. The result is a complex brew with a malty palate, intense hop aromas, pronounced bitterness and a pleasantly dry finish.\t",6.8,50,80,34,29,24,88,53,75,1,85,131,26,53,3.850679,4.085973,3.893665,3.882353,3.839367,221,Portland,ME
Bedlam,IPA - Belgian,Ale Asylum,Ale Asylum Bedlam,Notes:Bedlam! A chaotic blend of Citra hops and Belgian yeast give this IPA aromas of summer fruits and a bright hop presence with a plush finish.\t,7.4,50,80,17,32,12,89,54,84,0,107,91,31,33,4.270492,4.098361,4.032787,4.131148,4.213115,61,Madison,USA
Gouden Carolus Hopsinjoor,IPA - Belgian,Brouwerij Het Anker,Brouwerij Het Anker Gouden Carolus Hopsinjoor,Notes:,8.0,50,80,11,34,20,53,50,39,0,57,78,22,25,3.99481,4.278547,4.015571,4.081315,4.032872,289,Mechelen,Belgium
Dernière Volonté,IPA - Belgian,Brasserie Dieu Du Ciel,Brasserie Dieu Du Ciel Dernière Volonté,"Notes:The Last Will is born from a meeting between the Belgian and British brewing traditions. It has a complex nose of flowers and alcohol, supported by slightly fruity and malty flavors, all topped by a strong hop bouquet. In the mouth it is spicy and fruity hints and a discrete touch of alcohol. In the final, hops up the rear with force.\t",7.0,50,80,19,35,22,61,55,80,0,85,76,34,32,3.978,4.156,3.966,3.976,3.992,250,QC H2T 2N2,Canada
The Audacity Of Hops,IPA - Belgian,Cambridge Brewing Company,Cambridge Brewing Company The Audacity Of Hops,Notes:Belgian Double IPA.\t,8.0,50,80,24,47,13,68,45,81,1,82,99,22,38,4.158537,4.085366,4.073171,4.207317,4.097561,41,Cambridge,USA
Smuttynose Homunculus (Big Beer Series),IPA - Belgian,Smuttynose Brewing Company,Smuttynose Brewing Company Smuttynose Homunculus (Big Beer Series),"Notes:This hoppy, Belgian-style golden ale first appeared in early 2007 as the first edition of our Short Batch Series. At that time, we called it the Gnome, an homage to Brasserie d'Achouffe.45 IBU2011 - 9.9%\t",9.37,50,80,16,52,27,61,103,78,0,109,82,31,45,3.875,3.827586,3.771552,3.840517,3.801724,116,Hampton,USA
